nm,x100,y100
380,0.17411,0.00496
385,0.17401,0.00498
390,0.1738,0.00492
395,0.17356,0.00492
400,0.17334,0.0048
405,0.17302,0.00478
410,0.17258,0.0048
415,0.17209,0.00483
420,0.17141,0.0051
425,0.1703,0.00579
430,0.16888,0.0069
435,0.1669,0.00855
440,0.16441,0.01088
445,0.16111,0.01379
450,0.15664,0.01771
455,0.15099,0.02274
460,0.14396,0.0297
465,0.1355,0.03988
470,0.12412,0.0578
475,0.1096,0.08684
480,0.09129,0.1327
485,0.06871,0.20072
490,0.04539,0.29498
495,0.02346,0.4127
500,0.00817,0.53842
505,0.00386,0.65483
510,0.01387,0.75019
515,0.03885,0.81202
520,0.0743,0.8338
525,0.11416,0.82621
530,0.15472,0.80586
535,0.19288,0.78163
540,0.22962,0.75433
545,0.26578,0.72432
550,0.3016,0.69231
555,0.33736,0.65885
560,0.3731,0.62445
565,0.40873,0.58961
570,0.44406,0.55472
575,0.47878,0.5202
580,0.51249,0.48659
585,0.54479,0.45443
590,0.57515,0.42423
595,0.60293,0.3965
600,0.62704,0.37249
605,0.64823,0.3514
610,0.66576,0.33401
615,0.68008,0.31975
620,0.69151,0.30834
625,0.70061,0.2993
630,0.70792,0.29203
635,0.71403,0.28593
640,0.71903,0.28094
645,0.72303,0.27695
650,0.72599,0.27401
655,0.72827,0.27173
660,0.72997,0.27003
665,0.73109,0.26891
670,0.73199,0.26801
675,0.73272,0.26728
680,0.73342,0.26658
685,0.73405,0.26595
690,0.73439,0.26561
695,0.73459,0.26541
700,0.73469,0.26531
90,0.678632,0.239275
80,0.622574,0.21324
70,0.566516,0.187205
60,0.510458,0.16117
50,0.4544,0.135135
40,0.398342,0.1091
30,0.342284,0.083065
20,0.286226,0.05703
10,0.230168,0.030995
0,0.17411,0.00496
